Date,Day,Journal,Total Spend,Description,GYM,Note
1 Jan,Thursday,New Year Day. Slept in. Resolved to save more this year.,0,,N,Zero spend day - New Year resolution
2 Jan,Friday,First office day of 2026. Team new year lunch.,650,15bus+120lunch+15bus+350newYearLunch+150autoRickshaw,Y,
3 Jan,Saturday,Gym first day of year. Clean start.,280,80gymProtein+120lunch+80fruits,Y,New year new routine
4 Jan,Sunday,Cooked full day. No outside spend.,60,60vegetables,N,
5 Jan,Monday,Office day. Enrolled in Java cert course.,2200,15bus+110lunch+15bus+1999javaCert+61snacks,Y,Investment in skills
6 Jan,Tuesday,Office day. Evening walk.,330,15bus+110lunch+15bus+100snacks+90dinner,Y,
7 Jan,Wednesday,Work from home. Quiet productive day.,180,90orderFood+50chai+40fruits,N,
8 Jan,Thursday,Office day. Bought new running shoes.,2500,15bus+110lunch+15bus+2200runningShoes+160snacks,Y,Needed for morning runs
9 Jan,Friday,Office day. Evening snacks with team.,360,15bus+110lunch+15bus+130snacks+90autoRickshaw,Y,
10 Jan,Saturday,Long morning run. Rest of day at home.,120,80fruits+40eggs,Y,
11 Jan,Sunday,Temple visit with parents. Lunch at their place.,130,80auto+50petrolBike,N,Free lunch at parents
12 Jan,Monday,Office day. Annual doctor checkup.,1050,15bus+110lunch+15bus+750doctorFee+160medicines,Y,Annual checkup done
13 Jan,Tuesday,Office day. Normal day.,330,15bus+110lunch+15bus+100snacks+90dinner,Y,
14 Jan,Wednesday,Makar Sankranti holiday. Kite flying on terrace.,350,200sweets+100kite+50chai,N,
15 Jan,Thursday,Office day. Evening badminton.,360,15bus+110lunch+15bus+130badmintonCourt+90dinner,Y,
16 Jan,Friday,Office day. Bought desk lamp for WFH setup.,980,15bus+110lunch+15bus+800deskLamp+40chai,Y,WFH setup upgrade
17 Jan,Saturday,Gym. Paid monthly rent.,9680,80gymProtein+9200rent+400groceries,Y,
18 Jan,Sunday,Rest day. Cooked at home.,95,55vegetables+40eggs,N,Tried new recipe
19 Jan,Monday,Office day. Team all-hands meeting.,330,15bus+110lunch+15bus+100snacks+90dinner,Y,
20 Jan,Tuesday,Office day. Grocery run after work.,520,15bus+110lunch+15bus+290groceries+90snacks,Y,
21 Jan,Wednesday,Work from home. Long sprint session.,180,90orderFood+50chai+40fruits,N,
22 Jan,Thursday,Office day. Evening outing with college friends.,890,15bus+110lunch+15bus+600dinner+150uber,Y,Long overdue catch up
23 Jan,Friday,Office day. Bought monthly metro pass.,1200,15bus+110lunch+900metroPass+175snacks,Y,Switching to metro
24 Jan,Saturday,Gym and park walk. Quiet evening.,200,80gymProtein+60fruits+60autoRickshaw,Y,
25 Jan,Sunday,Cooked at home. Prepped food for the week.,110,70vegetables+40eggs,N,
26 Jan,Monday,Republic Day holiday. Invested SIP.,3100,90orderFood+3000sipInvestment+10chai,N,Monthly SIP done
27 Jan,Tuesday,Office day. Evening walk.,330,15bus+110lunch+15bus+100snacks+90dinner,Y,
28 Jan,Wednesday,Office day. Team outing for colleague birthday.,680,15bus+110lunch+15bus+400birthdayDinner+140uber,Y,
29 Jan,Thursday,Work from home. Short day.,220,110orderFood+60chai+50fruits,N,
30 Jan,Friday,Office day. Bought protein powder.,1400,15bus+110lunch+15bus+1100proteinPowder+160snacks,Y,Monthly stock
31 Jan,Saturday,Gym. Long walk. Reviewed January expenses.,260,80gymProtein+80fruits+100autoRickshaw,Y,January done - could have saved more

,,Total,Rs 29075,Total Count,21,

,,Average Cost Per Day,937.9,,,
